Var1,Var2,Var3,Var4a,Var4b,Var4c,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Ex.KLD Dryer
DK,11/05/2017,1,1,0,0,81.68,27.79,66.35,22.58,75.60,3.66,67.08,15.43,14.04,15.54
MTM,16/01/2018,0,1,0,0,78.41,1.50,66.55,1.52,63.30,5.23,57.16,21.13,14.13,14.7
MTM,16/01/2018,0,1,0,0,78.40,1.45,66.65,1.52,63.39,5.10,57.99,20.92,14.42,14.7
MTM,16/01/2018,0,0,1,0,78.51,1.45,66.68,1.54,64.13,5.06,59.21,20.31,14.12,14.7
MTM,16/01/2018,0,0,1,0,78.68,1.49,66.67,1.46,64.62,4.88,58.76,19.33,14.34,14.7
MTM,16/01/2018,0,0,0,1,78.57,12.50,66.31,10.60,65.30,5.40,57.10,20.41,14.08,14.7
MTM,16/01/2018,0,0,0,1,78.59,12.28,66.28,10.40,65.45,5.41,57.07,20.45,14.01,14.7
MTM,16/01/2018,0,0,0,1,78.41,11.13,66.19,9.44,65.97,5.32,57.31,20.74,14.26,14.7
SEL,04/01/2018,0,0,1,0,78.82,1.54,66.12,1.40,65.73,5.16,60.94,16.52,12.95,14.78
SEL,04/01/2018,0,0,1,0,78.91,1.55,66.18,1.40,65.79,5.18,60.70,17.35,13.06,14.78
SEL,04/01/2018,0,0,1,0,78.92,18.05,66.24,15.16,65.91,5.09,60.24,17.73,12.87,14.78
SEL,04/01/2018,0,0,0,1,78.78,16.34,66.25,13.76,65.34,5.26,59.39,18.22,12.08,14.78
SFM,03/01/2018,1,1,0,0,79.10,1.17,66.11,1.48,67.90,3.19,63.90,15.61,13.18,13.9
SFM,03/01/2018,1,1,0,0,79.34,1.23,66.22,1.26,66.45,4.16,63.38,15.61,13.19,13.9
SFN,18/04/2018,0,1,0,0,82.32,0.68,66.12,1.36,76.78,4.01,54.70,13.05,12.96,14.5
SFN,18/04/2018,0,1,0,0,82.25,0.73,66.28,1.26,77.04,3.92,54.85,13.65,12.63,14.5
SFN,18/04/2018,0,0,0,1,81.40,19.19,66.26,15.64,74.73,4.03,68.70,17.16,13.39,14.5
SFN,18/04/2018,0,0,0,1,80.99,19.56,66.10,15.97,73.88,3.93,71.20,16.18,13.28,14.5
TF,02/01/2018,1,1,0,0,79.04,1.27,66.20,1.48,67.88,3.11,65.48,16.50,13.17,13.85
TF,02/01/2018,1,1,0,0,79.22,1.29,66.24,1.34,66.92,3.87,64.60,16.25,12.65,13.85
USR,19/03/2018,1,1,0,0,78.38,1.41,65.18,1.63,71.26,3.94,51.52,18.42,13.65,13.75
USR,19/03/2018,1,1,0,0,78.81,1.50,65.67,1.72,72.40,4.09,53.76,18.70,15.03,13.75
USR,19/03/2018,1,1,0,0,79.11,1.57,65.75,1.66,72.82,4.06,53.55,18.39,14.57,13.75
USS,17/03/2018,1,1,0,0,79.35,29.02,65.81,24.10,71.75,3.96,67.89,20.87,14.38,14.01
USS,17/03/2018,1,1,0,0,78.96,25.61,65.70,21.33,71.74,4.12,64.27,20.88,14.75,14.01
USS,17/03/2018,1,1,0,0,79.28,21.48,65.93,17.89,72.62,4.13,61.37,20.42,14.56,14.01
USS,17/03/2018,1,1,0,0,79.45,20.06,65.87,16.66,72.92,4.10,60.30,20.22,14.2,14.01
USS,17/03/2018,1,0,1,0,79.54,18.88,65.98,15.69,73.13,4.13,60.26,19.68,13.89,14.01
WFF,18/01/2018,1,1,0,0,78.02,1.49,66.51,1.56,62.31,5.53,53.86,19.69,13.18,14.57
WFF,18/01/2018,1,1,0,0,78.12,1.53,66.69,1.40,62.22,5.44,55.67,20.51,13.4,14.57
WFP,02/01/2018,0,1,0,0,79.22,1.29,66.24,1.34,66.92,3.87,64.60,16.25,13.31,14.35
WFP,02/01/2018,0,0,1,0,78.74,1.40,66.14,1.49,64.92,4.63,61.52,16.76,13.8,14.35
WM,04/01/2018,0,1,0,0,79.54,1.32,65.58,1.45,64.26,4.90,61.02,15.20,13.22,13.78
YTMZ,08/01/2018,1,1,0,0,78.20,0.96,66.64,1.45,64.88,3.85,60.36,17.95,13.6,14.45
YTMZ,08/01/2018,1,1,0,0,78.51,1.29,66.67,1.26,65.98,4.10,61.95,16.45,13.31,14.45
YTMZ,08/01/2018,1,1,0,0,78.65,1.45,66.31,1.32,67.40,4.50,62.80,15.21,13.81,14.45
YTMZ,08/01/2018,1,1,0,0,78.80,1.53,66.30,1.34,67.25,4.76,61.48,16.87,13.89,14.45
BER,17/01/2018,1,1,0,0,78.24,1.49,66.50,1.51,62.67,5.31,56.60,20.33,14.03,15.08
BER,17/01/2018,1,1,0,0,78.28,1.48,66.53,1.50,62.70,5.15,56.38,21.45,13.7,15.08
BHT,08/05/2017,0,0,0,1,81.43,16.35,66.35,13.31,74.93,4.19,69.48,15.12,13.28,15.29
BHT,08/05/2017,0,0,0,1,81.42,14.70,66.08,11.94,74.46,4.11,71.65,15.07,13.92,15.29
CJQ,05/01/2018,1,1,0,0,78.43,1.46,65.88,1.57,62.97,4.68,58.63,16.17,13.3,14.25
CJQ,05/01/2018,1,1,0,0,78.45,1.38,66.08,1.57,63.72,4.63,59.68,16.79,13.56,14.25
CRK,03/01/2018,1,1,0,0,79.10,1.17,66.11,1.48,67.90,3.19,63.90,15.61,13.34,14.25
CRK,03/01/2018,1,1,0,0,79.34,1.23,66.22,1.26,66.45,4.16,63.38,15.61,13.19,14.25
